Date;BTC;LTC;XRP;DOGE;DASH;ETH;ETC;ZEC;BCH;BSV
2018-10-01;6589,6201171875;60,2080993652;0,5764610171;0,0059420001;186,9179992676;230,7680053711;11,2110996246;127,3809967041;530,9140014648;nan
2018-10-02;6556,1000976562;59,7053985596;0,5208370090;0,0058240001;182,2369995117;227,1809997559;11,1691999435;126,8320007324;533,2650146484;nan
2018-10-03;6502,5898437500;57,4775009155;0,5281620026;0,0057040001;177,5590057373;220,4889984131;11,1183004379;122,0609970093;514,5250244141;nan
2018-10-04;6576,6899414062;58,2794990540;0,5266060233;0,0056449999;180,4539947510;222,2180023193;11,0468997955;124,0319976807;513,0300292969;nan
2018-10-05;6622,4799804688;58,7662010193;0,5190259814;0,0056690001;182,0500030518;227,6009979248;11,0535001755;127,7249984741;520,6329956055;nan
2018-10-06;6588,3100585938;57,8441009521;0,4880819917;0,0055450001;180,3869934082;225,1199951172;10,9180002213;125,8099975586;508,6239929199;nan
2018-10-07;6602,9501953125;58,1603012085;0,4820390046;0,0055620000;180,2510070801;226,1190032959;10,8980998993;125,4589996338;517,4680175781;nan
2018-10-08;6652,2299804688;59,4126014709;0,4897510111;0,0055780001;182,1529998779;229,2550048828;10,9548997879;126,5000000000;528,9749755859;nan
2018-10-09;6642,6401367188;58,7132987976;0,4798569977;0,0056349998;181,0330047607;227,9819946289;10,8934001923;126,1110000610;517,7899780273;nan
2018-10-10;6585,5297851562;57,9818000793;0,4623869956;0,0055519999;178,5160064697;225,7689971924;10,8275003433;123,6620025635;512,9240112305;nan
2018-10-11;6256,2402343750;51,2330017090;0,3831300139;0,0049999999;157,1390075684;189,4989929199;9,1719999313;110,0400009155;433,0369873047;nan
2018-10-12;6274,5800781250;53,5517005920;0,4191150069;0,0052470001;157,8220062256;196,7270050049;9,4635601044;109,0230026245;443,2290039062;nan
2018-10-13;6285,9902343750;53,4518013000;0,4188779891;0,0051819999;160,8630065918;199,8410034180;9,4823102951;111,5729980469;448,4100036621;nan
2018-10-14;6290,9301757812;52,1874008179;0,4032860100;0,0051580002;157,4179992676;195,7149963379;9,4081201553;108,5380020142;439,2340087891;nan
2018-10-15;6596,5400390625;54,8796005249;0,4473159909;0,0052180002;164,9770050049;209,7039947510;9,7775297165;112,9150009155;459,3810119629;nan
