Date,Open,High,Low,Close
04/27/2023,77.88,78.55,77.36,78.22
04/26/2023,80.71,81.36,77.5,77.72
04/25/2023,82.39,82.88,80.21,80.6
04/24/2023,81.52,82.8,80.3,82.54
04/21/2023,80.79,82.05,80.45,81.66
04/20/2023,82.75,82.92,80.77,81.1
04/19/2023,84.9,85.15,82.39,83.12
04/18/2023,84.74,85.41,83.81,84.77
04/17/2023,86.3,86.52,84.34,84.76
04/14/2023,86.18,86.87,85.53,86.31
04/13/2023,87.19,87.47,86.05,86.09
04/12/2023,85.59,87.49,85.39,87.33
04/11/2023,84.24,85.67,83.75,85.61
04/10/2023,85.14,85.66,84.09,84.18
04/07/2023,85.12,85.12,85.12,85.12
04/06/2023,84.89,85.45,84.05,85.12
04/05/2023,85.22,85.54,84.01,84.99
04/04/2023,84.89,86.04,83.82,84.94
04/03/2023,86,86.44,83.5,84.93
03/31/2023,78.47,79.95,77.84,79.89
03/30/2023,77.48,78.85,77.18,78.6
03/29/2023,78.47,79,77.31,77.59
03/28/2023,77.83,78.7,77.09,78.14
03/27/2023,74.62,78,74.39,77.76
03/24/2023,75.1,75.89,72.35,74.59
03/23/2023,75.87,77.44,75.12,75.91
03/22/2023,75.15,77.12,74.5,76.69
03/21/2023,73.64,75.42,72.82,75.32
03/20/2023,73.01,73.87,70.12,73.79
03/17/2023,74.7,75.92,71.4,72.97
03/16/2023,74.3,75.54,71.86,74.7
03/15/2023,77.82,78.73,71.67,73.69
03/14/2023,80.54,80.92,76.89,77.45
03/13/2023,83.16,83.48,78.34,80.77
03/10/2023,81.47,83.11,80.73,82.78
03/09/2023,82.55,84,81.42,81.59
03/08/2023,83.03,83.59,82.06,82.66
03/07/2023,86.23,86.75,82.83,83.29
03/06/2023,85.78,86.35,84.34,86.18
03/03/2023,84.61,86,82.36,85.83
03/02/2023,84.31,85.1,83.83,84.75
03/01/2023,83.05,84.49,82.61,84.31
02/28/2023,82,83.99,81.84,83.45
02/27/2023,82.85,83.25,81.4,82.04
02/24/2023,82.33,83.09,80.75,82.82
02/23/2023,80.31,82.46,80.25,81.95
02/22/2023,82.5,82.96,80.3,80.45
02/21/2023,83.86,84.2,82.56,83.05
02/20/2023,83.17,84.3,82.73,84.07
02/17/2023,84.6,84.87,81.8,83
02/16/2023,85.27,86.21,84.6,85.14
