DATE,OPEN,HIGH,LOW,Price
04/27/2023,16.78,21.36,13.37,15.27
04/26/2023,16.85,20.75,14.93,17.31
04/25/2023,15.16,23.8,15.16,16.86
04/24/2023,14.96,21.75,12.94,15.91
04/21/2023,15.34,21.88,14.39,17.32
04/20/2023,15.19,20.72,10.88,15.37
04/19/2023,14.53,21.32,12.94,14.48
04/18/2023,14.51,21.91,13.92,14.33
04/17/2023,14.66,15.93,12.92,14.32
04/14/2023,15.05,16.32,14.15,14.7
04/13/2023,15.77,20.73,13.8,15.38
04/12/2023,15.96,18.9,15.61,16.47
04/11/2023,16.69,20.6,16.16,16.62
04/10/2023,18,19.25,15.82,15.82
04/06/2023,16.92,23.14,16.56,16.63
04/05/2023,17.18,20.38,16.67,16.72
04/04/2023,16.75,21.84,16.7,16.9
04/03/2023,17.42,20.9,14.01,16.63
03/31/2023,17.76,20.44,14.71,17.55
03/30/2023,17.64,19.86,16.63,17.98
03/29/2023,17.97,21.34,16.24,18.05
03/28/2023,19.54,26.24,16.94,18.87
03/27/2023,19.29,24.5,16.95,19.2
03/24/2023,21.31,26.02,18.82,20.2
03/23/2023,19.19,22.97,18.34,20.41
03/22/2023,19.24,21.07,14.89,20.44
03/21/2023,19.86,22.79,18.31,18.87
03/20/2023,23.05,27.42,18.79,21.34
03/17/2023,19.62,26.55,19.53,22.47
03/16/2023,23.02,25.94,18.13,19.4
03/15/2023,22.14,29.87,16.76,22
03/14/2023,20.35,27.01,15.75,20.1
03/13/2023,24.68,25.31,15.85,22.66
03/10/2023,19.89,26.03,19.89,21.22
03/09/2023,17.02,24.98,16.57,23.01
03/08/2023,17.56,19.32,16.1,17.26
03/07/2023,16.85,20.26,16.54,17.55
03/06/2023,16.73,19.4,14.56,16.6
03/03/2023,17,21.42,16.13,17.99
03/02/2023,18.36,23.94,17.07,17.13
03/01/2023,17.73,20.1,16.7,18.06
02/28/2023,18.14,22.53,16.95,17.9
02/27/2023,18.27,19.96,15.39,18.02
02/24/2023,19.02,24.73,18.43,18.47
02/23/2023,18.71,24.14,16.76,18.15
02/22/2023,19.66,27.35,14.38,19.35
02/21/2023,18.59,25.15,17.29,19.56
02/17/2023,18.3,20.32,15.12,17.31
02/16/2023,16.98,28,15.84,17.74
02/15/2023,16.84,21.42,16.23,16.3
02/14/2023,17.94,22,16.7,17.01
02/13/2023,19,20.98,15.37,17.97
02/10/2023,19.05,24.75,18.26,18.49
02/09/2023,17.24,18.96,14.89,18.78
02/08/2023,16.64,18.1,15.35,17.52
02/07/2023,17.58,23.12,15.64,16.63
02/06/2023,17.75,17.92,15.26,17.21
02/03/2023,17.09,26.42,16.04,16.89
02/02/2023,16.66,22.69,14.9,17.31
02/01/2023,17.96,24.09,15.25,16.55
01/31/2023,17.99,23.16,16.72,17.77
01/30/2023,17.3,21.99,14.43,18.23
01/27/2023,17.05,24.73,13.58,16.81
01/26/2023,17.09,21.87,16.87,16.94
01/25/2023,18.14,22.86,15.53,17.12
01/24/2023,18.04,25.1,17,17.11
01/23/2023,17.95,24.24,15.05,17.56
01/20/2023,18.31,20.6,13.97,17.44
