Date,open,high,low,Price
2023/4/27,1990.599976,2002.300049,1979.900024,1989.900024
2023/4/26,1997.800049,1998.800049,1985.599976,1985.699951
2023/4/25,1995.699951,1999.099976,1982.300049,1994.0
2023/4/24,1981.300049,1989.800049,1977.400024,1989.099976
2023/4/21,1996.199951,1996.199951,1974.099976,1979.5
2023/4/20,1998.0,2007.599976,1998.0,2007.599976
2023/4/19,2005.699951,2006.400024,1969.800049,1995.199951
2023/4/18,1996.900024,2007.400024,1996.900024,2007.400024
2023/4/17,2002.699951,2007.599976,1983.199951,1994.199951
2023/4/14,2041.0,2047.800049,1995.0,2002.199951
2023/4/13,2015.599976,2048.600098,2015.599976,2041.300049
2023/4/12,2005.199951,2025.699951,2005.199951,2010.900024
2023/4/11,1991.400024,2006.5,1991.400024,2004.800049
2023/4/10,2000.0,2006.599976,1984.0,1989.099976
2023/4/6,2022.199951,2023.300049,2005.0,2011.900024
2023/4/5,2022.099976,2033.800049,2013.599976,2020.900024
2023/4/4,1984.599976,2027.099976,1979.0,2022.199951
2023/4/3,1968.099976,1991.699951,1950.0,1983.900024
2023/3/31,1981.300049,1986.800049,1968.0,1969.0
2023/3/30,1965.900024,1984.400024,1954.900024,1980.300049
2023/3/29,1966.099976,1966.099976,1966.099976,1966.099976
2023/3/28,1972.400024,1972.400024,1972.400024,1972.400024
2023/3/27,1957.199951,1957.199951,1952.400024,1952.400024
2023/3/24,1991.699951,1995.400024,1982.099976,1982.099976
2023/3/23,1990.5,1994.599976,1990.5,1993.800049
2023/3/22,1946.800049,1974.0,1946.800049,1946.800049
2023/3/21,1973.800049,1973.800049,1938.0,1938.0
2023/3/20,1988.300049,2003.900024,1968.900024,1979.199951
2023/3/17,1946.0,1985.099976,1946.0,1969.800049
2023/3/16,1909.900024,1931.699951,1909.900024,1919.0
2023/3/15,1903.900024,1926.599976,1898.5,1926.599976
2023/3/14,1912.199951,1912.199951,1901.099976,1906.199951
2023/3/13,1890.800049,1913.099976,1875.099976,1911.699951
2023/3/10,1852.300049,1868.5,1852.0,1862.0
2023/3/9,1816.400024,1829.300049,1815.599976,1829.300049
2023/3/8,1811.599976,1812.900024,1811.5,1812.699951
2023/3/7,1840.900024,1840.900024,1813.900024,1813.900024
2023/3/6,1853.300049,1853.800049,1844.199951,1847.900024
2023/3/3,1837.300049,1855.400024,1837.300049,1847.699951
2023/3/2,1830.0,1836.300049,1830.0,1833.5
2023/3/1,1827.099976,1841.699951,1827.099976,1837.699951
2023/2/28,1808.099976,1830.0,1808.099976,1828.900024
2023/2/27,1811.599976,1817.5,1808.900024,1817.0
2023/2/24,1808.800049,1808.800049,1808.800049,1808.800049
2023/2/23,1826.400024,1827.5,1818.0,1818.0
2023/2/22,1835.699951,1836.199951,1825.099976,1832.0
2023/2/21,1842.599976,1843.0,1833.0,1833.0
2023/2/17,1827.400024,1842.199951,1818.400024,1840.400024
2023/2/16,1838.599976,1843.699951,1827.199951,1842.0
2023/2/15,1842.0,1842.0,1828.199951,1834.199951
2023/2/14,1854.099976,1862.0,1846.199951,1854.0
2023/2/13,1859.0,1861.0,1850.0,1851.900024
2023/2/10,1861.599976,1863.5,1852.400024,1862.800049
2023/2/9,1875.300049,1884.599976,1859.800049,1866.199951
2023/2/8,1872.099976,1880.400024,1872.099976,1877.400024
2023/2/7,1870.0,1875.699951,1868.0,1871.699951
2023/2/6,1865.599976,1880.0,1863.400024,1866.199951
2023/2/3,1912.400024,1917.0,1861.5,1862.900024
2023/2/2,1952.300049,1959.099976,1911.300049,1916.300049
2023/2/1,1927.199951,1955.0,1922.0,1927.800049
2023/1/31,1923.0,1930.400024,1900.599976,1929.5
2023/1/30,1928.300049,1933.599976,1920.300049,1922.900024
2023/1/27,1928.599976,1928.599976,1928.599976,1928.599976
2023/1/26,1936.599976,1937.099976,1927.099976,1929.099976
2023/1/25,1941.199951,1941.199951,1939.800049,1941.199951
2023/1/24,1931.800049,1936.800049,1931.800049,1933.900024
2023/1/23,1926.5,1927.099976,1915.0,1927.099976
2023/1/20,1922.099976,1928.5,1921.400024,1926.400024
2023/1/19,1922.099976,1931.800049,1922.099976,1922.099976
2023/1/18,1911.099976,1911.099976,1903.099976,1904.400024
2023/1/17,1920.099976,1920.099976,1905.199951,1907.199951
2023/1/13,1899.0,1920.900024,1898.300049,1918.400024
2023/1/12,1877.199951,1897.400024,1877.199951,1895.5
2023/1/11,1873.099976,1877.800049,1873.099976,1874.599976
2023/1/10,1877.800049,1878.099976,1871.599976,1871.599976
2023/1/9,1867.0,1880.0,1867.0,1872.699951
2023/1/6,1838.400024,1868.199951,1835.300049,1864.199951
2023/1/5,1855.199951,1855.199951,1834.800049,1834.800049
2023/1/4,1845.599976,1859.099976,1845.599976,1852.800049
2023/1/3,1836.199951,1839.699951,1836.199951,1839.699951
2022/12/30,1817.0,1822.300049,1816.800049,1819.699951
2022/12/29,1805.800049,1819.5,1805.800049,1819.5
2022/12/28,1803.199951,1807.900024,1803.099976,1807.900024
2022/12/27,1803.400024,1826.300049,1803.400024,1814.800049
2022/12/23,1794.300049,1802.800049,1794.099976,1795.900024
2022/12/22,1818.099976,1818.099976,1785.0,1787.0
2022/12/21,1817.400024,1821.400024,1814.400024,1815.900024
2022/12/20,1786.5,1821.400024,1786.5,1815.900024
2022/12/19,1791.599976,1796.300049,1785.599976,1787.699951
2022/12/16,1777.900024,1791.400024,1777.900024,1790.0
2022/12/15,1801.0,1801.0,1774.800049,1777.199951
2022/12/14,1810.800049,1812.800049,1797.900024,1807.5
2022/12/13,1780.699951,1819.800049,1780.5,1813.900024
2022/12/12,1787.300049,1793.900024,1777.699951,1780.5
2022/12/9,1794.900024,1804.300049,1791.099976,1798.099976
2022/12/8,1782.0,1790.900024,1782.0,1788.699951
2022/12/7,1769.300049,1790.300049,1769.300049,1785.5
2022/12/6,1768.599976,1779.400024,1767.900024,1769.300049
2022/12/5,1795.699951,1808.0,1764.300049,1767.400024
2022/12/2,1802.0,1802.300049,1779.400024,1795.900024
2022/12/1,1768.699951,1803.699951,1768.699951,1801.099976
2022/11/30,1748.099976,1769.400024,1745.099976,1746.0
2022/11/29,1739.5,1758.199951,1737.900024,1748.400024
2022/11/28,1741.300049,1741.300049,1740.099976,1740.099976
2022/11/25,1753.0,1757.900024,1749.199951,1753.300049
2022/11/23,1736.5,1750.900024,1736.5,1744.900024
2022/11/22,1741.699951,1741.699951,1738.300049,1738.300049
2022/11/21,1739.0,1744.900024,1736.099976,1737.400024
2022/11/18,1763.300049,1763.300049,1747.599976,1751.900024
2022/11/17,1763.0,1763.0,1756.0,1760.800049
2022/11/16,1776.599976,1778.900024,1773.0,1773.0
2022/11/15,1770.800049,1773.800049,1769.900024,1773.800049
2022/11/14,1762.0,1773.599976,1761.599976,1773.599976
2022/11/11,1763.800049,1766.0,1757.599976,1766.0
2022/11/10,1708.199951,1750.300049,1708.199951,1750.300049
2022/11/9,1707.400024,1720.199951,1706.0,1710.099976
2022/11/8,1703.199951,1712.099976,1703.199951,1712.099976
2022/11/7,1676.900024,1677.900024,1672.900024,1676.5
2022/11/4,1630.199951,1674.5,1629.0,1672.5
2022/11/3,1629.199951,1629.199951,1615.099976,1627.300049
