Date,Open,High,Low,Close,Price
2023/4/27,13115.36,13156.37,12963.16,13092.85,13092.85
2023/4/26,11913.23047,11967.99023,11833.07031,11854.34961,11854.34961
2023/4/25,11968.80957,11990.45996,11798.76953,11799.16016,11799.16016
2023/4/24,12053.46973,12103.58008,11960.29981,12037.2002,12037.2002
2023/4/21,12046.03027,12097.15039,11986.82031,12072.45996,12072.45996
2023/4/20,12039.08008,12155.95996,12011.9502,12059.55957,12059.55957
2023/4/19,12063.67969,12191.09961,12060.16992,12157.23047,12157.23047
2023/4/18,12234.55957,12245.42969,12110.23047,12153.41016,12153.41016
2023/4/17,12108.23047,12159.01953,12064.09961,12157.71973,12157.71973
2023/4/14,12117.91016,12205.71973,12026.54981,12123.46973,12123.46973
2023/4/13,11997.41992,12178.79981,11995.94043,12166.26953,12166.26953
2023/4/12,12110.87012,12134.5,11916.54004,11929.33984,11929.33984
2023/4/11,12080.24023,12091.26953,12011.40039,12031.87988,12031.87988
2023/4/10,11975.12988,12084.9502,11924.2002,12084.36035,12084.36035
2023/4/6,11939.08008,12098.5,11898.36035,12087.95996,12087.95996
2023/4/5,12081.75977,12086.75,11931.84961,11996.86035,11996.86035
2023/4/4,12208.49023,12224.67969,12081.80957,12126.33008,12126.33008
2023/4/3,12146.08984,12196.33984,12086.51953,12189.4502,12189.4502
2023/3/31,12031.54004,12227.92969,12030.44043,12221.91016,12221.91016
2023/3/30,12010.4502,12044.79004,11953.37012,12013.46973,12013.46973
2023/3/29,11855.58984,11941.59961,11823.34961,11926.24023,11926.24023
2023/3/28,11752.75977,11752.75977,11635.03027,11716.08008,11716.08008
2023/3/27,11868.54004,11903.20996,11739.04981,11768.83984,11768.83984
2023/3/24,11747.62012,11826.23047,11670.66992,11823.95996,11823.95996
2023/3/23,11811.32031,11962.69043,11684.51953,11787.40039,11787.40039
2023/3/22,11857.5,12013.99023,11666.84961,11669.95996,11669.95996
2023/3/21,11764.79004,11879.16016,11724.91016,11860.11035,11860.11035
2023/3/20,11614.38965,11695.54981,11550.69043,11675.54004,11675.54004
2023/3/17,11696.33984,11773.11035,11562.62988,11630.50977,11630.50977
2023/3/16,11384.87012,11733.79981,11365.49023,11717.28027,11717.28027
2023/3/15,11291.16992,11447.90039,11238.44043,11434.04981,11434.04981
2023/3/14,11357.73047,11467.01953,11284.92969,11428.15039,11428.15039
2023/3/13,11041.45996,11326.73047,10982.79981,11188.83984,11188.83984
2023/3/10,11325.36035,11373.80957,11093.86035,11138.88965,11138.88965
2023/3/9,11578.30957,11667.12012,11319.98047,11338.34961,11338.34961
2023/3/8,11553.08984,11601.23047,11487.75,11576,11576
2023/3/7,11670.98047,11705.95996,11512.03027,11530.33008,11530.33008
2023/3/6,11736.87012,11827.91992,11667.48047,11675.74023,11675.74023
2023/3/3,11524.65039,11699.62988,11514.74023,11689.00977,11689.00977
2023/3/2,11273.76953,11487.58984,11273.61035,11462.98047,11462.98047
2023/3/1,11447.58008,11479,11349.87012,11379.48047,11379.48047
2023/2/28,11451.04981,11548.23047,11435.38965,11455.54004,11455.54004
2023/2/27,11517.19043,11565.23047,11444.59961,11466.98047,11466.98047
2023/2/24,11404.17969,11434.36035,11334.46973,11394.94043,11394.94043
2023/2/23,11636.92969,11638.98047,11432.58008,11590.40039,11590.40039
2023/2/22,11517.2002,11582.51953,11445.16992,11507.07031,11507.07031
2023/2/21,11640.37012,11684.13965,11491.17969,11492.29981,11492.29981
2023/2/17,11777.5,11803.21973,11673.20996,11787.26953,11787.26953
2023/2/16,11896.30957,12040.33984,11853.36035,11855.83008,11855.83008
2023/2/15,11905.12012,12071.29004,11876.82031,12070.58984,12070.58984
2023/2/14,11808.2002,11999.84961,11760.55957,11960.15039,11960.15039
2023/2/13,11759.08984,11910.91992,11719.73047,11891.79004,11891.79004
2023/2/10,11714.59961,11775.79981,11630.54004,11718.12012,11718.12012
2023/2/9,12069.09961,12070.95996,11745.11035,11789.58008,11789.58008
2023/2/8,12069.12012,12096.38965,11890.08984,11910.51953,11910.51953
2023/2/7,11891.25,12150.21973,11836.78027,12113.79004,12113.79004
2023/2/6,11904.41016,11973.41016,11843.49023,11887.4502,11887.4502
2023/2/3,11946.86035,12231.30957,11946.86035,12006.9502,12006.9502
2023/2/2,12065.15039,12269.54981,12024.13965,12200.82031,12200.82031
2023/2/1,11573.13965,11904.01953,11500.33008,11816.32031,11816.32031
2023/1/31,11398.58008,11586.00977,11398.37012,11584.54981,11584.54981
2023/1/30,11512.33984,11553.30957,11388.54004,11393.80957,11393.80957
