DATE,US equity uncertainty index
2023/4/27,157.01
2023/4/26,135.07
2023/4/25,111.25
2023/4/24,149.57
2023/4/23,127.64
2023/4/22,113.76
2023/4/21,118.21
2023/4/20,98.98
2023/4/19,128.99
2023/4/18,186.52
2023/4/17,51.34
2023/4/16,279.06
2023/4/15,50.4
2023/4/14,38.2
2023/4/13,258.05
2023/4/12,109.82
2023/4/11,155.38
2023/4/10,116.65
2023/4/9,210.2
2023/4/8,124.42
2023/4/7,65.4
2023/4/6,40.4
2023/4/5,108.51
2023/4/4,154.53
2023/4/3,150.38
2023/4/2,407.69
2023/4/1,118.19
2023/3/31,144.99
2023/3/30,82.78
2023/3/29,127.01
2023/3/28,117.77
2023/3/27,141.81
2023/3/26,153.05
2023/3/25,132.95
2023/3/24,163.72
2023/3/23,190
2023/3/22,215.3
2023/3/21,102.69
2023/3/20,158.68
2023/3/19,213.92
2023/3/18,80.16
2023/3/17,236.53
2023/3/16,191.67
2023/3/15,165.53
2023/3/14,246.38
2023/3/13,226.43
2023/3/12,63.42
2023/3/11,111.64
2023/3/10,167.33
2023/3/9,99.01
2023/3/8,71.68
2023/3/7,97.28
2023/3/6,88.74
2023/3/5,120.29
2023/3/4,109.74
2023/3/3,90.05
2023/3/2,158.83
2023/3/1,79.33
2023/2/28,88.38
2023/2/27,130.62
2023/2/26,78.14
2023/2/25,57.93
2023/2/24,82.35
2023/2/23,188.33
2023/2/22,140.33
2023/2/21,68.9
2023/2/20,88.82
2023/2/19,101.26
2023/2/18,153.22
2023/2/17,97.82
2023/2/16,223.17
2023/2/15,200.6
2023/2/14,105.73
2023/2/13,70.05
2023/2/12,54.4
2023/2/11,118.66
2023/2/10,99.82
2023/2/9,129.06
2023/2/8,139.63
2023/2/7,190.34
2023/2/6,219.03
2023/2/5,90.75
2023/2/4,99.82
2023/2/3,115.81
2023/2/2,116.99
2023/2/1,137.21
2023/1/31,158.19
2023/1/30,190.98
2023/1/29,225.17
2023/1/28,114.2
2023/1/27,110.89
2023/1/26,72.53
2023/1/25,113.38
2023/1/24,123.28
2023/1/23,326.16
2023/1/22,258.78
2023/1/21,89.56
2023/1/20,119.89
2023/1/19,106.09
2023/1/18,310.22
2023/1/17,73.48
2023/1/16,166.4
2023/1/15,261.68
2023/1/14,176.67
2023/1/13,141.9
2023/1/12,189.12
2023/1/11,363.54
2023/1/10,386.4
2023/1/9,152.46
2023/1/8,204.85
2023/1/7,168.63
2023/1/6,158.88
2023/1/5,176.01
2023/1/4,114.2
2023/1/3,117.51
2023/1/2,185.33
2023/1/1,433.38
2022/12/31,162.78
2022/12/30,199.3
2022/12/29,123.69
2022/12/28,85.9
2022/12/27,69.63
2022/12/26,170.29
2022/12/25,343.59
2022/12/24,73.31
2022/12/23,84.14
2022/12/22,98.69
2022/12/21,147.63
2022/12/20,72.84
2022/12/19,87.27
2022/12/18,103.12
2022/12/17,84.76
2022/12/16,99.07
2022/12/15,114.95
2022/12/14,120.9
2022/12/13,122.35
2022/12/12,169.7
2022/12/11,223.06
2022/12/10,61
2022/12/9,114.31
2022/12/8,81.81
2022/12/7,151.37
2022/12/6,105.68
2022/12/5,187.14
2022/12/4,339.06
2022/12/3,83.3
2022/12/2,48.03
2022/12/1,177.11
2022/11/30,89.9
2022/11/29,90.52
2022/11/28,183.05
2022/11/27,173.32
2022/11/26,119.31
2022/11/25,189.26
2022/11/24,226.25
2022/11/23,183.38
2022/11/22,125.51
2022/11/21,122.23
2022/11/20,255.53
2022/11/19,110.6
2022/11/18,133.39
2022/11/17,91.22
2022/11/16,107.83
2022/11/15,95.09
2022/11/14,215.52
2022/11/13,228.73
2022/11/12,198.23
2022/11/11,183.98
2022/11/10,119.57
2022/11/9,146.6
2022/11/8,123.6
2022/11/7,245.52
2022/11/6,116.64
2022/11/5,66.38
2022/11/4,122.07
2022/11/3,140.73
2022/11/2,98.2
2022/11/1,127.48
2022/10/31,161.13
2022/10/30,114.98
2022/10/29,87.03
2022/10/28,204.29
2022/10/27,150.79
2022/10/26,84.81
2022/10/25,104.95
2022/10/24,168.29
2022/10/23,140.06
2022/10/22,72.32
2022/10/21,107.34
2022/10/20,78.35
2022/10/19,70.66
2022/10/18,73.35
2022/10/17,129.16
2022/10/16,208.79
2022/10/15,120.4
2022/10/14,180.93
2022/10/13,169.02
2022/10/12,186.85
2022/10/11,155.85
2022/10/10,181.4
2022/10/9,128.12
2022/10/8,100.81
2022/10/7,139.82
2022/10/6,168.97
2022/10/5,153.24
2022/10/4,148.79
2022/10/3,146.03
2022/10/2,296.28
2022/10/1,101.92
2022/9/30,192.84
2022/9/29,93.12
2022/9/28,155.79
2022/9/27,194.98
2022/9/26,85.96
2022/9/25,127.96
2022/9/24,114.37
2022/9/23,133.87
2022/9/22,139.2
2022/9/21,70.88
2022/9/20,78.61
2022/9/19,65.09
2022/9/18,131.17
2022/9/17,125.98
2022/9/16,123.3
2022/9/15,118.58
2022/9/14,116.73
2022/9/13,95.35
2022/9/12,162.37
2022/9/11,141.95
2022/9/10,64.78
2022/9/9,66.03
2022/9/8,47.62
2022/9/7,87.66
2022/9/6,91.55
2022/9/5,158.69
2022/9/4,95.37
2022/9/3,65.72
2022/9/2,65.23
2022/9/1,75.93
2022/8/31,126.46
2022/8/30,83.23
2022/8/29,97.52
2022/8/28,138.76
2022/8/27,96.29
2022/8/26,121.88
2022/8/25,66.37
2022/8/24,137.29
2022/8/23,93.31
2022/8/22,169.02
2022/8/21,149.65
2022/8/20,49.35
2022/8/19,98.49
2022/8/18,92.67
2022/8/17,75.77
2022/8/16,103.94
2022/8/15,145.63
2022/8/14,95.08
2022/8/13,112.14
2022/8/12,48.55
2022/8/11,99.36
2022/8/10,84.3
2022/8/9,189.05
2022/8/8,227.88
2022/8/7,187.1
2022/8/6,265.44
2022/8/5,107.43
2022/8/4,78.43
2022/8/3,115.69
2022/8/2,96.66
2022/8/1,141.32
2022/7/31,118.84
2022/7/30,61.72
2022/7/29,130.23
2022/7/28,111
2022/7/27,181.99
2022/7/26,94.68
2022/7/25,120.62
2022/7/24,209.57
2022/7/23,100.99
2022/7/22,138.82
2022/7/21,132.76
2022/7/20,113.33
2022/7/19,177.18
2022/7/18,182.94
2022/7/17,195.72
2022/7/16,214.9
2022/7/15,210.77
2022/7/14,203.03
2022/7/13,52.82
2022/7/12,126.67
2022/7/11,200.3
2022/7/10,210.3
2022/7/9,104.17
2022/7/8,104.33
2022/7/7,93.67
2022/7/6,91.52
2022/7/5,116.59
2022/7/4,309.83
2022/7/3,135.95
2022/7/2,130.95
2022/7/1,177.73
2022/6/30,158.37
2022/6/29,135.33
2022/6/28,129.96
2022/6/27,140.94
2022/6/26,239.87
2022/6/25,91.56
2022/6/24,111.86
2022/6/23,96.96
2022/6/22,96.97
2022/6/21,140.11
2022/6/20,165.42
2022/6/19,184.49
2022/6/18,143.96
2022/6/17,108.29
2022/6/16,189.54
2022/6/15,140.82
2022/6/14,120.62
2022/6/13,95.37
2022/6/12,124.32
2022/6/11,80.16
2022/6/10,93.65
2022/6/9,112.11
2022/6/8,110.13
2022/6/7,167.65
2022/6/6,127.27
2022/6/5,139.95
2022/6/4,88.7
2022/6/3,163.85
2022/6/2,144.13
2022/6/1,161.66
2022/5/31,72.9
2022/5/30,82.99
2022/5/29,79.32
2022/5/28,61.72
2022/5/27,145.02
2022/5/26,132.56
2022/5/25,100.89
2022/5/24,135.79
2022/5/23,135.77
2022/5/22,247.4
2022/5/21,157.27
2022/5/20,185.12
2022/5/19,157.59
2022/5/18,97.83
2022/5/17,101.23
2022/5/16,124.37
2022/5/15,184.23
2022/5/14,130.88
2022/5/13,140
2022/5/12,144.73
