costat,curcd,datafmt,indfmt,consol,gvkey,datadate,cik,sic,fyear,act,at,che,dlc,dltt,invt,lct,lt,rect,seq,cogs,dp,ebit,ni,oibdp,sale,txt,xint,xsga,oancf,csho,prcc_f
A,USD,STD,INDL,C,001004,2019-05-31,0000001750,5080,2018,952.5000,1517.2000,41.1000,0.0000,141.7000,589.0000,357.5000,611.3000,258.1000,905.9000,1679.5000,42.8000,110.7000,7.5000,153.5000,2051.8000,4.9000,9.5000,218.8000,67.4000,34.7880,30.090000000000
A,USD,STD,INDL,C,001004,2020-05-31,0000001750,5080,2019,1438.7000,2079.0000,424.7000,13.7000,670.9000,692.7000,383.1000,1176.4000,229.1000,902.6000,1728.7000,43.7000,106.4000,4.4000,150.1000,2089.3000,5.6000,9.3000,210.5000,-36.1000,35.0970,20.170000000000
A,USD,STD,INDL,C,001004,2021-05-31,0000001750,5080,2020,937.0000,1539.7000,60.2000,11.5000,193.6000,591.0000,336.8000,565.3000,238.6000,974.4000,1364.6000,36.3000,65.5000,35.8000,101.8000,1651.4000,18.2000,5.0000,185.0000,105.2000,35.3750,41.750000000000
A,USD,STD,INDL,C,001004,2022-05-31,0000001750,5080,2021,1007.2000,1573.9000,58.9000,11.1000,156.3000,604.1000,348.2000,539.4000,290.3000,1034.5000,1470.3000,33.1000,116.2000,78.7000,149.3000,1817.1000,26.6000,2.4000,197.5000,75.2000,35.3910,48.220000000000
A,USD,STD,INDL,C,001004,2023-05-31,0000001750,5080,2022,1097.9000,1833.1000,81.8000,12.3000,317.9000,624.7000,351.5000,734.0000,335.0000,1099.1000,1591.3000,27.9000,151.4000,90.2000,179.3000,1990.6000,31.4000,12.2000,220.0000,23.3000,34.9160,50.110000000000
A,USD,STD,INDL,C,001004,2024-05-31,0000001750,5080,2023,1389.6000,2770.0000,96.1000,13.2000,1065.7000,814.6000,466.9000,1580.2000,423.6000,1189.8000,1835.4000,41.2000,174.4000,46.3000,215.6000,2321.2000,12.0000,43.2000,270.2000,43.6000,35.6940,70.990000000000
I,USD,STD,INDL,C,001019,2019-12-31,0000002668,7380,2019,23.7270,33.3550,1.8650,1.8330,0.0000,4.1520,16.8810,21.7220,16.1200,11.6330,55.8300,1.9810,3.2450,2.2010,5.2260,83.0880,0.9980,0.1170,22.0320,3.9670,0.1620,180.000000000000
I,USD,STD,INDL,C,001019,2020-12-31,0000002668,7380,2020,31.0980,40.5700,6.0530,2.0000,6.6680,3.9540,15.5730,27.0910,17.9060,13.4790,55.6730,1.9240,3.8460,2.6030,5.7700,82.6790,1.2000,0.1090,21.2360,-0.5430,0.1620,174.000000000000
A,USD,STD,INDL,C,001045,2019-12-31,0000006201,4512,2019,8206.0000,59995.0000,3984.0000,4569.0000,28875.0000,1851.0000,18311.0000,60113.0000,1750.0000,-118.0000,32027.0000,2318.0000,3706.0000,1686.0000,6024.0000,45768.0000,570.0000,1095.0000,7717.0000,3815.0000,428.2030,28.680000000000
A,USD,STD,INDL,C,001045,2020-12-31,0000006201,4512,2020,11095.0000,62008.0000,7473.0000,4448.0000,36573.0000,1614.0000,16569.0000,68875.0000,1342.0000,-6867.0000,22290.0000,2365.0000,-11387.0000,-8885.0000,-9022.0000,17337.0000,-2568.0000,1227.0000,4069.0000,-6543.0000,621.4800,15.770000000000
