Feature Method,Model Name,Train MAE,Test MAE,Train RMSE,Test RMSE,Train DA,Test DA,Sharpe Ratio
Original (Scaled),Linear Regression,0.006363063187745419,0.01882812581852785,0.008422818484638701,0.022618893874761035,0.6320115189944449,0.4877659574468085,0.3893367300457219
Original (Scaled),SVR,0.005886015024950736,0.006649319802732537,0.006846775890857535,0.008826009150997405,0.5946640322799993,0.47712765957446807,0.38223166126118785
Original (Scaled),Random Forest,0.002766058050397858,0.0064889731731310974,0.003951780406120634,0.00866339077428598,0.9468865513477109,0.5031914893617021,0.818150725694366
Original (Scaled),XGBoost,0.0010350577779334187,0.006707681148631075,0.0013436650836230943,0.008932696340730916,0.9553023856496703,0.4920212765957447,0.7396793683642953
Original (Scaled),LightGBM,0.0016705033049492237,0.00705991148085335,0.002221058977765862,0.009314074914868466,0.9308060844194038,0.5058510638297872,1.1161147815284354
PCA,Linear Regression,0.007198685959687862,0.006631722186259878,0.01007001910563169,0.008976133066666548,0.5515181080575006,0.49414893617021277,0.4483409096192754
PCA,SVR,0.006013870474473055,0.007062675872773369,0.0069681455287795655,0.009187410602637499,0.6047907877925021,0.48085106382978726,0.43157098746781314
PCA,Random Forest,0.0027719434202665627,0.0062390336474608095,0.0040093631907229055,0.008634712359292444,0.9470131907737033,0.48457446808510635,0.17969958792201093
PCA,XGBoost,0.001460598190951742,0.006546618199187964,0.0019324301787437335,0.008980542587970389,0.9382434407971507,0.502127659574468,0.24882887426554756
PCA,LightGBM,0.002430407802392773,0.007140837251727332,0.003218462239497603,0.009511529884041433,0.8929303433119224,0.48936170212765956,0.5893515294816267
KPCA,Linear Regression,0.007188507944695603,0.0057625457060360135,0.010379410259947281,0.008097984714254611,0.5592882006200791,0.5382978723404255,0.8045918702793791
KPCA,SVR,0.007198619135067788,0.006865744137745567,0.00928592197555049,0.009142125221501221,0.6006562196298666,0.5186170212765957,0.761363063888208
KPCA,Random Forest,0.002826192100194643,0.0059992497242308245,0.004079871274307821,0.0083469809213882,0.9456726325025869,0.5218085106382978,0.8733202698060639
KPCA,XGBoost,0.0019091289731059322,0.006481612672956767,0.0025723033334120915,0.00886404204246707,0.9222228428308645,0.5058510638297873,0.6195691372729802
KPCA,LightGBM,0.003129759423144306,0.00690209962014463,0.004463639682153972,0.009295197893117692,0.8671333823091569,0.5313829787234041,0.8811627592048494
FRPCA,Linear Regression,0.007220255954640753,0.006858384823778969,0.010147439121152613,0.009153028188330106,0.5387554189315197,0.4888297872340425,0.36599618030111264
FRPCA,SVR,0.006134716889200743,0.007020950703937728,0.007084102254348243,0.009177987882557765,0.612094526130717,0.47765957446808505,0.4648675307573904
FRPCA,Random Forest,0.0027917956443110807,0.007662806911773122,0.003990867535135438,0.010843357823681152,0.9483254687709263,0.5069148936170212,0.830362164551321
FRPCA,XGBoost,0.0017220214056661407,0.00789912171310849,0.0022757768386228163,0.010809770551758077,0.9273369752743135,0.49680851063829784,0.6236433246607382
FRPCA,LightGBM,0.0028852638791588094,0.0069882434259923385,0.0038177056606648425,0.009350933055590909,0.8710223648821971,0.5132978723404256,0.8360900132266453
