compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio,tcri,cluster
11032014,1.149712289,1.138752342,1.360614113,0.497155455,1.156214238,1.469540767,1.46821462,-0.06237899,0.895725677,1.571828907,0.102713486,0.02779047,-0.221771399,0.067917401,0.68630181,-1.598313375,0.028561309,-0.16341238,1.232741329,-0.072289777,-0.05200697,-0.006798636,-0.319067977,0.592670806,1.210156493,0.069524868,-0.738733718,-0.024497196,-0.046175848,-0.010411534,-0.700111792,-0.620032481,-0.096142632,-0.247561192,0.939843107,0.881390828,0.038946225,1.67589584,-0.034142877,-0.05211415,0.086604459,0.891761052,0.431306946,-0.210824248,-0.482516086,-0.428450134,-2.25130594,2.004433805,6,1
11032015,0.746900931,1.001369643,1.216516326,-0.023830395,1.11009579,1.469540767,1.46821462,-0.048179205,0.893538251,1.30571528,-0.123307654,-0.104049316,-0.304294121,0.041887,0.651318904,-1.598313375,0.028561309,0.013987843,1.326544115,-0.03215251,-0.006992937,-0.029567568,-0.052262631,-0.267097593,1.18230072,0.166348004,-0.738733718,0.041285348,-0.027880758,-0.010313837,-1.914291966,-1.599609402,-0.043382469,-0.173546032,1.597246789,1.263078208,0.012496415,1.86507497,0.223924614,0.258864715,-0.228026127,0.972206537,0.648668742,4.818912166,-0.252333557,-0.359444817,0.66799997,-0.02045329,6,1
11032016,0.928918114,0.909398867,1.1833408,0.14712178,0.952559179,1.467718337,1.466404155,-0.04362985,0.888680537,1.405609555,-0.052144401,-0.084174182,-0.245155146,0.19015463,0.483925556,-1.598313375,0.028561309,-0.239043851,1.228366756,-0.056754866,-0.037784896,-0.013632302,1.310782827,-0.81330828,0.999184924,0.060509957,-1.162420504,-0.019360996,-0.032699124,-0.010367476,0.434539228,0.386515183,-0.09148153,-0.106675793,1.19391231,1.082756831,0.05832313,1.770097575,-0.175921656,-0.223145155,0.257008194,1.022324926,0.294587312,4.818912165,-0.557852001,-0.401606986,-1.731454772,0.934456781,6,1
11032017,0.736257032,0.882096486,1.240166013,0.250057632,0.872226159,1.467718337,1.466404155,-0.034056074,0.983188387,1.570909538,-0.322736519,-0.340871641,-0.210075714,0.125214295,0.417410787,-1.598313375,0.028561309,-0.152338177,0.868548211,0.146473313,0.144115694,-0.015268872,0.139010351,-0.273468185,0.936328254,0.032420205,-0.960478236,-0.01975597,-0.048436365,-0.009310634,1.308424402,0.998832656,-0.113508844,-0.132518013,0.971971692,0.684692167,-0.018833889,1.716937625,-0.51607399,-0.623255354,0.648107804,0.842027545,0.066770419,4.818912163,-0.471808583,-0.067903976,0.371553715,-0.002587351,6,1
11032018,0.801563536,1.033052986,1.325203556,0.462581234,0.995751509,1.467718337,1.466404155,-0.010382117,1.059376752,1.639796763,-0.323744517,-0.343211472,-0.208934231,-0.101191894,0.532683254,-1.598313375,0.051856139,-0.105362334,0.78715868,0.015898206,0.011922421,-0.304616775,0.265783502,0.090565119,0.987623186,0.016994654,-1.12068848,-0.02568296,-0.070114758,-0.009871592,0.184188863,0.053183822,-0.113028733,-0.414715385,0.828170307,0.560141985,-0.008378646,1.702844213,-0.394568767,-0.482554519,0.51180787,0.772740397,0.075909835,4.818912158,-0.425504812,-0.278819196,-1.139281798,0.128915295,6,1
11032019,0.837142367,0.999564951,1.456276125,0.560084087,1.18351439,1.467718337,1.466404155,0.042796564,1.185017037,1.74259689,-0.392664584,-0.373523022,-0.22565599,0.303687917,0.43402505,-1.598313375,-0.027876861,-0.230351272,0.987908082,0.127583635,0.130219463,-0.133066,-0.046129353,0.39709779,1.132381249,-0.056711273,-0.602076308,-0.01620188,-0.035533646,-0.009581579,1.211397332,0.948001279,-0.145759878,-0.363470896,0.583984578,0.892653842,-0.016495423,1.847427183,-0.203494906,-0.256452772,0.289972898,0.395467251,0.174005495,4.818912064,-0.549279269,-0.097990627,-0.162466881,0.030992751,6,1
11032020,1.197126659,1.070148466,1.489115977,0.430061599,1.20667563,1.467718337,1.466404155,0.083193428,1.310716686,1.788205602,-0.334536917,-0.249997888,-0.318231511,0.262943155,0.604621367,-1.598313375,0.031546755,0.094057823,1.136675187,0.345506859,0.353276693,0.002766991,0.230560296,0.148259253,1.183966945,-0.095595399,-0.884196709,0.002335876,-0.027544234,-0.009112465,0.244061653,0.145542279,-0.144164946,-0.238556609,0.948781396,1.168024242,-0.019486514,1.786722981,-0.221307137,-0.277627416,0.310891788,0.494830981,0.199757833,4.81891179,-0.119689505,0.241443941,-0.214876203,0.034449905,6,1
11032021,1.261021041,1.033433498,1.482462718,0.372542346,1.154220798,1.467718337,1.466404155,0.144910383,1.258028952,1.817185394,-0.284556447,-0.252792935,-0.257696111,0.195501449,0.573352486,-1.598313375,0.013194227,-0.265218271,1.123652621,0.094629197,0.104336678,-0.142196826,0.980848415,-0.458554142,1.124251912,-0.148732079,-0.810316313,-0.016596704,-0.037209948,-0.009851184,0.138286044,0.042798382,-0.153553262,-0.398586039,0.992780244,1.198695562,-0.013761572,1.741436581,-0.34797705,-0.428058097,0.458652362,0.623804659,0.099294478,4.818908628,-0.583959435,-0.15052603,-0.642045742,0.064640357,6,1
11032022,1.40014908,0.981068548,1.415211,0.509906097,1.159186807,1.467718337,1.466404155,0.178105454,1.173054045,1.681646657,-0.274662704,-0.268024074,-0.238080642,0.151375614,0.434689329,-1.598313375,0.035884236,-0.215280586,1.156898859,-0.13316264,-0.084964885,-0.213906522,0.533432486,-0.085050436,1.139371973,-0.054579382,-0.810316313,-0.019360996,-0.040974464,-0.010510369,-1.268534519,-1.014476233,-0.161336713,-0.362816777,0.649726209,0.928850213,-0.084893812,1.778879967,-0.168211305,-0.214166185,0.248109273,0.58188571,0.236893799,4.81891179,-0.5342432,-0.483455029,-0.233827799,-0.978855874,6,1
11042015,-0.408111892,0.016625751,0.989697216,0.289970093,0.354588299,1.317979736,1.317539808,-0.314357811,0.927464715,1.415503622,0.291523303,0.159396549,-0.163324604,-0.164357277,-0.19999776,0.333070832,0.028561309,-0.032544433,-0.054618831,0.222826579,0.20309555,0.046970123,-0.022049784,-0.087457192,0.183842665,-0.076299247,-0.381988084,-0.003970896,0.005156608,-0.002558369,0.075397213,-0.098995919,-0.062290845,-0.123434554,-0.690188293,-0.067956382,-0.022977376,-0.543360684,-1.155860354,-1.289345239,1.273495766,-0.095320522,-0.774297544,-0.210824248,-0.315766147,0.15519555,0.307780436,0.001306901,5,1
