compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio,tcri,cluster
11032023,0.832644772,0.991969984,1.415400252,0.484308695,1.14169885,1.481326586,1.47992227,0.204355512,1.133969248,1.697322499,-0.103311234,-0.17820603,-0.194566394,0.128746999,0.462708802,-1.598313375,0.053193302,-0.121641617,1.264311976,-0.055974425,-0.03454388,-0.09989922,-0.292893499,-0.075884655,1.132856043,-0.065125816,-0.669351206,-0.030427954,-0.0805892,-0.010367476,-0.218939143,-0.245594334,-0.156216315,-0.253075676,0.71781801,0.985084132,0.029659868,1.759606559,-0.218290948,-0.273920329,0.3072316,0.694121472,0.214424935,4.818908916,-0.440534805,-0.400734713,-1.618828593,0.736510399,6,1
11032024,0.920114013,0.94081609,1.388863826,0.404126712,1.116997452,1.481326586,1.47992227,0.227166883,1.125366351,1.66602234,-0.086403328,-0.177160213,-0.182010296,0.240150059,0.430637545,-1.598313375,-0.012854757,-0.123289382,1.298322947,0.00730817,0.029397077,-0.014216831,0.541230977,-0.390830206,1.07061267,-0.093867953,-0.846962964,-0.006336945,-0.008818553,-0.010206946,-0.547645301,-0.505951328,-0.146236753,-0.18671929,0.783517675,1.026196478,0.002222074,1.769456383,-0.221139359,-0.277627416,0.310891788,0.7384107,0.161122487,-0.210824248,-0.441959359,-0.295602925,-1.203494217,0.175696045,6,1
11042023,0.558010969,0.663845253,1.23696938,0.62493563,0.562195279,1.368446805,1.367735895,-0.267463297,1.631845692,1.706879136,0.586138496,0.358869932,0.015692656,0.212340869,0.017695301,0.362477709,-0.763805034,0.123152748,0.559464742,0.436739166,0.423189708,0.142875523,0.47103018,-0.52652993,0.428327489,-0.248010288,-0.323177603,-0.00515385,-0.011979639,-0.006390328,0.543019789,0.214550509,0.033836469,-0.055681351,-0.190856077,0.332869851,-0.022436038,0.147030351,-1.176060309,-1.307970848,1.29046418,-0.019533795,-0.660722433,-0.210824248,-0.026171725,0.492116723,-0.100469967,0.026950996,5,1
11042024,0.636685022,0.701496545,1.271867846,0.577610509,0.52213085,1.382710551,1.381918743,-0.267998388,1.651030822,1.769416767,0.600066089,0.369409213,0.025520092,0.171262802,0.07960317,0.358394211,-0.160770491,0.139015014,0.431863707,0.287898723,0.273150478,0.191533745,0.060824401,-0.43411963,0.390182628,-0.326140817,-0.504925454,-0.006336945,-0.008818553,-0.006716091,0.905697193,0.425437387,0.051368706,-0.03533465,-0.007492591,0.44972546,-0.022253384,-0.091035337,-1.310067888,-1.42664218,1.397829685,0.04458556,-0.741489263,-0.210824248,-0.003744207,0.221816408,-0.70058636,0.06919877,5,1
11082023,-0.662979279,0.556906345,0.460881328,0.483500929,0.487900272,0.968953802,0.96977324,-0.360313308,-0.070627911,0.428222823,0.282065663,0.1016462,-0.101127978,-0.415126392,0.007794999,-1.598313375,-0.210139592,0.05354185,0.571604047,0.062727938,0.052406764,0.018818846,0.063867883,-0.149222843,0.527366355,0.054080077,0.068625784,-0.00357661,0.011423956,-0.009231141,0.192898095,0.213216844,-0.046868082,-0.050216611,-0.075929592,-0.784917668,-0.018593009,0.783986641,0.242627668,0.281633078,-0.251302778,-0.542722263,0.444883641,-0.210824248,-0.010249578,-0.011739941,-0.651444377,0.065362491,6,1
11082024,-0.237777275,0.562512422,0.496603898,0.638644022,0.531040854,0.968953802,0.96977324,-0.360313308,-0.05611839,0.447884879,0.249999634,0.061622025,-0.093122838,-0.365442385,-0.07420398,-1.598313375,-0.000237459,0.058746327,0.504239697,0.052040355,0.040353859,0.054912442,-0.01531719,-0.05644122,0.575101318,0.059211051,-0.078388004,-0.006336945,-0.008818553,-0.009175241,0.20659959,0.235254093,-0.047699651,0.043243389,-0.432248649,-0.934869734,-0.018937335,0.783986641,0.292285977,0.341048652,-0.312199315,-0.742619636,0.5087463,-0.210824248,0.005644235,-0.043088777,-0.223076822,0.03499446,6,1
11102024,-0.157327871,-0.00724022,0.651206807,0.145906033,0.207839294,1.247574555,1.247473714,-0.232056077,0.130270243,0.978782589,-0.112322826,-0.218233558,-0.165962268,-0.749797598,-0.160095401,-1.598313375,0.028561309,-0.000312732,0.297662456,0.017181861,0.002214624,-0.022297015,0.045823902,0.036594022,0.278997254,-0.023790032,0.309566028,-0.006336945,-0.008818553,-0.009062757,0.217823857,0.018215974,-0.11517723,-0.032978496,-0.373766303,-0.328017432,-0.019635376,0.624447436,-0.87490056,-1.014299186,1.019462401,0.867834004,-0.376710631,-0.210824248,-0.237044107,-0.225505144,0.16745733,0.009964771,6,1
12012023,0.678274821,0.658052597,0.914375345,1.001338621,0.977130483,1.152444751,1.15273213,-0.324074825,0.120914866,0.744933258,1.346704058,1.109324315,0.747080771,1.986428508,-0.302241743,0.8532434,1.03650769,-0.003256086,1.144454069,0.006494917,0.018571666,0.152201359,-0.047250317,-0.074506153,0.808299321,0.097061427,-0.210527625,0.034605005,0.037635386,-0.010150145,-0.284917599,-0.252143914,0.034767741,0.306847344,-1.161109112,-0.52423639,0.001465265,0.211928293,0.703757729,0.814937877,-0.805965657,-1.168046738,0.619413902,-0.210824248,-0.22530426,-0.226777629,0.136412074,0.01189937,6,1
12012024,0.507596013,0.613449629,0.897468372,0.901435472,0.926417774,1.152444751,1.15273213,-0.320377083,0.158713969,0.795801006,1.416170378,1.190976394,0.85151286,2.032058108,-0.234054961,0.881038496,-0.218608772,0.048383748,1.002040776,0.054941854,0.058978522,0.151557081,-0.018298822,-0.387100472,0.710012211,0.074170012,-0.412044331,-0.006336945,-0.008818553,-0.009882856,-0.024688056,0.069451364,0.061141052,0.268411757,-0.994747297,-0.509947578,-0.010444845,-0.091035337,0.547902465,0.639791289,-0.621788724,-1.113887714,0.414345729,-0.210824248,-0.096503003,-0.108970506,-0.089771466,0.026258401,6,1
12032023,0.674583431,0.336512631,0.472111597,0.105283479,0.24613125,0.48454571,0.485520045,-0.316698068,0.226273498,0.679523365,0.444052112,0.14734288,0.072492801,0.687135056,0.006628983,-0.312655445,0.063556221,0.100332156,0.130895465,0.114528596,0.097013091,0.111063731,0.023068746,-0.179578634,0.059374582,-0.170420842,0.945133784,-0.006731341,-0.016956621,-0.006797152,0.488036584,0.295688647,0.021894923,0.306009786,0.351216747,0.192185727,-0.021988653,-0.388577666,-0.462369962,-0.561366389,0.588322916,-0.354019747,-0.493609069,-0.210824248,0.474203763,0.491232875,-0.23125687,0.035538662,5,1
