compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio
11032014,3163688.0,12878015.0,33666479.0,3366245.0,14384421.0,7768285.0,7768285.0,570096.0,8390425.0,19282058.0,3937686.0,3718300.0,219386.0,478235.0,9511770.0,0.0,0.0,-258849.0,193067.0,9301.0,202368.0,463080.0,-2234527.0,1561084.0,11511699.0,2968412.0,0.67,0.57,-1.4,1.05,-2.96,-4.86,38.74,-0.68,382.56,280.3,90.2,4.91,74.6,42.73,57.27,919.64,59.7,0.0,-3.33,0.12,-1325.99,1425.99
11032015,1829306.0,10683575.0,27383042.0,1526371.0,13336696.0,7768285.0,7768285.0,605975.0,8373346.0,14046346.0,2826519.0,2934267.0,-107748.0,463763.0,9157204.0,0.0,0.0,408964.0,226225.0,194900.0,421125.0,303390.0,-775173.0,-925916.0,10968921.0,5061597.0,0.67,2.24,0.13,1.86,-16.23,-29.74,70.59,0.36,699.93,420.56,56.4,8.02,94.95,48.7,51.3,1034.26,78.09,3.07,5.26,2.51,65.02,34.98
11032016,2341044.0,9443483.0,26128917.0,1981486.0,10315659.0,7747805.0,7747805.0,617579.0,8335423.0,15813258.0,3140190.0,3044769.0,95421.0,552899.0,7461997.0,0.0,0.0,-457478.0,191630.0,79161.0,270791.0,414899.0,3214197.0,-3066744.0,7902023.0,2775186.0,0.56,0.7,-0.29,1.41,6.9,12.37,41.64,1.25,476.59,347.03,113.49,6.12,65.23,39.48,60.52,1115.35,49.97,2.57,-5.9,1.02,-522.59,622.59
11032017,1803189.0,9106166.0,28317986.0,2317056.0,9057146.0,7747805.0,7747805.0,642168.0,9074455.0,19260840.0,2095607.0,1813286.0,282321.0,511805.0,6789110.0,0.0,0.0,-229484.0,101000.0,1081543.0,1182543.0,403390.0,124980.0,-950610.0,7029533.0,2175513.0,0.61,0.69,-1.58,11.71,13.6,21.11,27.72,0.91,393.01,227.76,9.52,5.38,47.02,31.98,68.02,857.07,36.5,2.22,-2.96,13.96,56.73,43.27
11032018,1969663.0,11150914.0,31985629.0,3195396.0,11065810.0,7747805.0,7747805.0,703931.0,9672041.0,20919819.0,2092406.0,1803918.0,288488.0,392089.0,7955518.0,0.0,910.0,-103601.0,86716.0,427880.0,514596.0,-636001.0,473053.0,298426.0,7735152.0,1847995.0,0.57,0.54,-3.25,5.93,4.91,7.37,28.03,-3.2,348.97,199.81,26.77,5.21,52.9,34.6,65.4,778.94,36.98,2.02,-1.34,5.52,-10.29,110.29
11032019,2066897.0,10657604.0,38720634.0,3700460.0,15044409.0,7747805.0,7747805.0,847377.0,10660775.0,23676225.0,1884002.0,1685405.0,198597.0,633383.0,6957144.0,0.0,-724.0,-434786.0,125646.0,985771.0,1111417.0,-169188.0,-742176.0,1072611.0,10049179.0,312847.0,0.71,0.78,-0.53,8.85,12.87,20.4,5.65,-2.41,288.01,283.66,13.67,7.59,63.54,38.85,61.15,484.6,42.44,1.62,-5.61,12.72,40.52,59.48
11032020,3375981.0,11726520.0,40646227.0,3042465.0,15628878.0,7747805.0,7747805.0,960402.0,11653749.0,25017349.0,2058417.0,2202158.0,-143741.0,603155.0,8684055.0,0.0,94.0,822567.0,163580.0,2106042.0,2269622.0,530831.0,377364.0,445433.0,11000781.0,-245316.0,0.63,1.25,0.16,13.87,5.39,8.78,6.84,-0.55,385.43,380.0,8.31,6.39,62.47,38.45,61.55,545.39,43.97,1.44,10.62,27.18,38.81,61.19
11032021,3685347.0,11156660.0,40247651.0,2789328.0,14337418.0,7747805.0,7747805.0,1139296.0,11237099.0,25910233.0,2220254.0,2189455.0,30799.0,556435.0,8367332.0,0.0,-221.0,-525636.0,159902.0,819520.0,979422.0,-194716.0,2360264.0,-1671701.0,9905628.0,-787737.0,0.65,0.77,-0.67,6.13,4.54,7.21,-0.74,-2.95,399.98,392.63,18.26,5.7,55.33,35.62,64.38,640.26,38.23,1.16,-6.78,10.58,23.59,76.41
11032022,4463396.0,10395347.0,36454234.0,3431484.0,14454807.0,7747805.0,7747805.0,1238426.0,10566464.0,21999427.0,2253659.0,2121073.0,132586.0,527956.0,6963863.0,0.0,253.0,-395370.0,169438.0,-121302.0,48136.0,-391837.0,1188263.0,-226451.0,10173996.0,356009.0,0.65,0.7,-0.98,0.28,-9.0,-14.4,-9.25,-2.4,302.94,294.74,-441.99,6.26,65.71,39.65,60.35,607.19,46.25,1.44,-5.1,-1.57,38.185,-128.35
11042014,396132.0,2652681.0,19382756.0,2068617.0,3584786.0,6159697.0,6159697.0,28999.0,7984829.0,15797970.0,5819904.0,5275558.0,544346.0,365834.0,584064.0,37160.0,0.0,178512.0,10142.0,1468035.0,1478177.0,659966.0,-470658.0,-222743.0,999761.0,90306.0,0.87,1.06,3.31,145.75,9.74,11.93,60.96,0.52,128.23,106.29,0.73,0.17,22.69,18.49,81.51,275.41,6.33,0.0,2.9,23.83,55.77,44.23
