compyear,tcri
11032014,6
11032015,6
11032016,6
11032017,6
11032018,6
11032019,6
11032020,6
11032021,6
11032022,6
11042014,5
11042015,5
11042016,5
11042017,5
11042018,5
11042019,5
11042020,5
11042021,5
11042022,5
11082014,7
11082015,6
11082016,6
11082017,7
11082018,7
11082019,7
11082020,6
11082021,6
11082022,6
11092014,6
11092015,6
11092016,6
11092017,5
11092018,5
11092019,5
11092020,5
11092021,5
11092022,5
11102014,6
11102015,6
11102016,6
11102017,6
11102018,6
11102019,6
11102020,6
11102021,6
11102022,6
12012014,7
12012015,8
12012016,9
12012017,9
12012018,7
12012019,7
12012020,6
12012021,6
12012022,6
12032014,6
12032015,6
12032016,5
12032017,5
12032018,5
12032019,5
12032020,5
12032021,5
12032022,5
12132014,7
12132015,7
12132016,7
12132017,7
12132018,9
12132019,9
12132020,9
12132021,9
12132022,9
12172014,7
12172015,7
12172016,7
12172017,7
12172018,7
12172019,7
12172020,7
12172021,7
12172022,7
12182014,6
12182015,6
12182016,6
12182017,6
12182018,6
12182019,6
12182020,5
12182021,5
12182022,6
12192014,5
12192015,5
12192016,5
12192017,5
12192018,5
12192019,6
12192020,6
12192021,6
12192022,6
12202014,6
12202015,6
12202016,6
12202017,6
12202018,6
12202019,6
12202020,6
12202021,6
12202022,6
12252014,7
12252015,7
12252016,7
12252017,7
12252018,7
12252019,7
12252020,7
12252021,7
12252022,6
12292014,5
12292015,5
12292016,5
12292017,5
12292018,5
12292019,5
12292020,5
12292021,5
12292022,5
12312014,6
12312015,6
12312016,5
12312017,5
12312018,5
12312019,5
12312020,5
12312021,5
12312022,5
12332020,5
12332021,6
12332022,6
12352014,8
12352015,8
12352016,8
12352017,8
12352018,8
12352019,8
12352020,8
12352021,8
12352022,8
12362014,6
12362015,6
12362016,6
12362017,6
12362018,6
12362019,6
12362020,6
12362021,6
12362022,6
13052014,5
13052015,5
13052016,5
13052017,5
13052018,5
13052019,5
13052020,5
13052021,5
13052022,5
13092014,7
13092015,7
13092016,7
13092017,6
13092018,6
13092019,6
13092020,5
13092021,5
13092022,5
13102014,7
13102015,7
13102016,7
13102017,7
13102018,7
13102019,7
13102020,7
13102021,7
13102022,7
13132019,5
13142014,5
13142015,5
13142016,5
13142017,5
13142018,5
13142019,5
13142020,5
13142021,5
13142022,6
13152014,5
13152015,5
13152016,5
13152017,5
13152018,5
13152019,5
13152020,5
13152021,5
13152022,5
13162014,8
13162015,8
13162016,8
13162017,8
13162018,8
13162019,8
13162020,8
13162021,8
13162022,8
13212014,6
13212015,6
13212016,6
13212017,6
13212018,6
13212019,6
13212020,5
13212021,5
13212022,5
13232014,5
13232015,5
13232016,5
13232017,5
13232018,5
13232019,5
13232020,5
13232021,5
13232022,5
13242014,6
13242015,6
13242016,6
13242017,6
13242018,6
13242019,6
13242020,6
13242021,6
13242022,6
13252019,5
13252020,5
13252021,5
13252022,6
13392014,5
13392015,5
13392016,5
13392017,5
13392018,5
13392019,5
13392020,5
13392021,5
13392022,5
13422018,6
13422019,6
13422020,6
13422021,6
13422022,6
14092014,5
14092015,5
14092016,5
14092017,5
14092018,5
14092019,5
14092020,5
14092021,5
14092022,5
14102014,5
14102015,5
14102016,5
14102017,5
14102018,5
14102019,5
14102020,5
14102021,5
14102022,6
14132014,8
14132015,8
14132016,8
14132017,8
14132018,7
14132019,7
14132020,8
14132021,7
14132022,7
14142014,6
14142015,6
14142016,6
14142017,6
14142018,6
14142019,6
14142020,6
14142021,6
14142022,6
14162014,7
14162015,7
14162016,7
14162017,7
14162018,7
14162019,7
14162020,7
14162021,7
14162022,7
14172014,6
14172015,6
14172016,7
14172017,7
14172018,7
14172019,7
14172020,7
14172021,7
14172022,7
14182014,8
14182015,8
14182016,D
14182017,D
14182018,D
14182019,D
14182020,D
14182021,D
14182022,9
14192014,7
14192015,7
14192016,7
14192017,7
14192018,7
14192019,7
14192020,7
14192021,7
14192022,7
14232014,6
14232015,6
14232016,6
14232017,6
14232018,6
14232019,6
14232020,7
14232021,7
14232022,7
14322014,8
14322015,8
14322016,8
14322017,8
14322018,8
14322019,8
14322020,8
14322021,8
14322022,8
14352014,8
14352015,8
14352016,8
14352017,7
14352018,7
14352019,7
14352020,8
14352021,8
14352022,9
14362014,8
14362015,8
14362016,8
14362017,8
14362018,8
14362019,8
14362020,8
14362021,8
14362022,8
14372014,7
14372015,7
14372016,7
14372017,7
14372018,7
14372019,7
14372020,7
14372021,7
14372022,7
14382014,8
14382015,8
14382016,8
14382017,8
14382018,8
14382019,8
14382020,8
14382021,8
14382022,8
14392014,6
14392015,6
14392016,6
14392017,6
14392018,6
14392019,6
14392020,7
14392021,8
14392022,8
14412014,7
14412015,7
14412016,8
14412017,9
14412018,8
14412019,8
14412020,8
14412021,8
14412022,9
14422014,7
14422015,7
14422016,7
14422017,7
14422018,7
14422019,7
14422020,7
14422021,7
14422022,7
14432014,9
14432015,9
14432016,9
14432017,9
14432018,9
14432019,9
14432020,9
14432021,9
14432022,9
14442014,5
14442015,5
14442016,5
14442017,5
14442018,5
14442019,5
14442020,5
14442021,5
14442022,5
14452014,6
14452015,6
14452016,6
14452017,6
14452018,6
14452019,6
14452020,6
14452021,6
14452022,6
14462014,6
14462015,8
14462016,8
14462017,8
14462018,8
14462019,8
14462020,8
14462021,8
14462022,8
14472014,5
14472015,5
14472016,5
14472017,5
14472018,5
14472019,5
14472020,5
14472021,5
14472022,5
14492014,D
14492015,9
14492016,9
14492017,9
14492018,9
14492019,9
14492020,9
14492021,9
14492022,9
14512019,5
14512020,5
14512021,5
14512022,5
14522014,5
14522015,5
14522016,5
14522017,5
14522018,5
14522019,5
14522020,5
14522021,5
14522022,5
14532014,8
14532015,7
14532016,7
14532017,7
14532018,7
14532019,7
14532020,7
14532021,7
14532022,7
14542014,6
14542015,6
14542016,6
14542017,6
14542018,6
14542019,6
14542020,6
14542021,6
14542022,6
14552014,5
14552015,5
14552016,5
14552017,5
14552018,5
14552019,5
14552020,5
14552021,5
14552022,5
14562014,9
14562015,9
14562016,9
14562017,9
14562018,9
14562019,9
14562020,9
14562021,9
14562022,9
14572014,7
14572015,7
14572016,7
14572017,7
14572018,7
14572019,7
14572020,7
14572021,7
14572022,7
14592014,6
14592015,6
14592016,6
14592017,7
14592018,7
14592019,7
14592020,7
14592021,7
14592022,7
14602014,6
14602015,5
14602016,5
14602017,5
14602018,5
14602019,7
14602020,7
14602021,7
14602022,7
14632014,6
14632015,6
14632016,6
14632017,6
14632018,6
14632019,6
14632020,6
14632021,6
14632022,6
14642014,6
14642015,6
14642016,6
14642017,6
14642018,6
14642019,6
14642020,7
14642021,7
14642022,7
14652014,5
14652015,5
14652016,5
14652017,5
14652018,5
14652019,6
14652020,6
14652021,6
14652022,6
14662014,5
14662015,5
14662016,7
14662017,7
14662018,7
14662019,7
14662020,7
14662021,7
14662022,7
14672014,6
14672015,6
14672016,6
14672017,7
14672018,7
14672019,7
14672020,7
14672021,7
14672022,7
14682014,9
14682015,9
14682016,9
14682017,9
14682018,9
14682019,9
14682020,9
14682021,9
14682022,8
14702014,6
14702015,6
14702016,6
14702017,6
14702018,6
14702019,6
14702020,6
14702021,6
14702022,6
