feature,importance
r1_z,10053.303665843263
Close_div_MA20_z,9677.140497912918
rmom3_z,8735.06261794137
RSI_14_z,8574.623124359596
r3_z,8368.971019498927
Vol_12w_z,8298.928107114125
r2_z,8186.632960547548
ATR_14_norm_z,8101.117380483567
r4_z,8057.797865685265
BB_Width_20_z,7792.452361160185
prcvol_std_week_z,7698.863775166057
Close_div_MA50_z,7157.175544316263
MACD_z,6891.850785185317
Vol_4w_z,6826.6262073658345
vol_4w_z,6572.545509058957
prcvol_mean_week_z,5595.438827586804
max_price_week_z,5481.3214920501105
log_price_z,5364.245685496019
log_mcap_year_z,3625.148077375252
r4_1_z,1489.9238612682334
