Feature_Selection,Model,train_auc,train_pr_auc,train_precision,train_recall,train_f1,train_accuracy,test_auc,test_pr_auc,test_precision,test_recall,test_f1,test_accuracy
Full_Set_Baseline,XGBoost,0.9380,0.7426,0.8552,0.6950,0.7667,0.9994,0.9090,0.6729,0.8285,0.6690,0.7402,0.9993
Lasso (a=1e-6),XGBoost,0.9363,0.7349,0.8508,0.6973,0.7664,0.9994,0.9130,0.6860,0.8181,0.6793,0.7422,0.9993
Ridge (a=1e6),XGBoost,0.8963,0.6320,0.7962,0.6134,0.6928,0.9992,0.9067,0.6805,0.8326,0.6480,0.7288,0.9993
Ridge (a=1e3),XGBoost,0.8987,0.3944,0.6750,0.3567,0.4666,0.9988,0.8276,0.3317,0.6167,0.3058,0.4088,0.9987
Ridge (a=1e2),XGBoost,0.8987,0.3944,0.6750,0.3567,0.4666,0.9988,0.8276,0.3317,0.6167,0.3058,0.4088,0.9987
Ridge (a=1e4),XGBoost,0.8820,0.3687,0.6425,0.3509,0.4539,0.9987,0.8579,0.3460,0.5801,0.3385,0.4275,0.9986
Ridge (a=1e5),XGBoost,0.8914,0.3414,0.6281,0.3400,0.4406,0.9987,0.9056,0.3809,0.6627,0.3212,0.4327,0.9987
XGBoost_Top10,XGBoost,0.8704,0.3204,0.6104,0.3184,0.4183,0.9987,0.8550,0.3220,0.6342,0.2865,0.3947,0.9987
Lasso (a=1e-5),XGBoost,0.8597,0.3043,0.6035,0.2990,0.3996,0.9987,0.8222,0.2509,0.5858,0.2680,0.3678,0.9986
Lasso (a=1e-4),XGBoost,0.9286,0.2481,0.8412,0.2155,0.3429,0.9988,0.7242,0.0116,0.0000,0.0000,0.0000,0.9966
Lasso (a=1e-6),LDA,0.8666,0.0270,0.0507,0.1436,0.0749,0.9947,0.8618,0.0249,0.0502,0.1410,0.0741,0.9947
Ridge (a=1e4),LDA,0.8674,0.0267,0.0504,0.1421,0.0744,0.9947,0.8619,0.0246,0.0495,0.1390,0.0730,0.9947
Ridge (a=1e5),LDA,0.8685,0.0268,0.0503,0.1412,0.0741,0.9947,0.8629,0.0247,0.0495,0.1380,0.0728,0.9947
Ridge (a=1e2),LDA,0.8683,0.0268,0.0499,0.1405,0.0736,0.9947,0.8629,0.0247,0.0491,0.1373,0.0723,0.9947
Ridge (a=1e3),LDA,0.8683,0.0268,0.0499,0.1405,0.0736,0.9947,0.8629,0.0247,0.0491,0.1373,0.0723,0.9947
XGBoost_Top10,LDA,0.8553,0.0232,0.0453,0.1234,0.0663,0.9948,0.8499,0.0211,0.0433,0.1163,0.0631,0.9948
Lasso (a=1e-5),LDA,0.8706,0.0247,0.0438,0.1278,0.0652,0.9945,0.8684,0.0226,0.0427,0.1240,0.0635,0.9945
Ridge (a=1e6),LDA,0.8702,0.0244,0.0428,0.1247,0.0638,0.9945,0.8681,0.0224,0.0420,0.1217,0.0625,0.9945
XGBoost_Top10,QDA,0.9106,0.0209,0.0295,0.2656,0.0531,0.9858,0.9071,0.0187,0.0288,0.2597,0.0519,0.9858
Lasso (a=1e-6),QDA,0.9231,0.0247,0.0183,0.5766,0.0354,0.9530,0.9196,0.0221,0.0183,0.5755,0.0354,0.9531
Ridge (a=1e3),QDA,0.8945,0.0201,0.0145,0.6070,0.0281,0.9266,0.8898,0.0174,0.0097,0.7103,0.0191,0.8907
Lasso (a=1e-5),QDA,0.9039,0.0241,0.0102,0.7058,0.0201,0.8946,0.9035,0.0218,0.0099,0.7077,0.0196,0.8941
Ridge (a=1e4),QDA,0.9157,0.0247,0.0096,0.7787,0.0190,0.8794,0.9082,0.0226,0.0093,0.8568,0.0184,0.8633
Ridge (a=1e2),QDA,0.8946,0.0206,0.0096,0.6895,0.0189,0.8914,0.8852,0.0179,0.0091,0.6907,0.0180,0.8875
Ridge (a=1e5),QDA,0.9075,0.0237,0.0080,0.8732,0.0158,0.8366,0.9030,0.0216,0.0082,0.7612,0.0163,0.8624
Ridge (a=1e6),QDA,0.9092,0.0250,0.0075,0.8857,0.0149,0.8231,0.9037,0.0229,0.0087,0.8393,0.0173,0.8573
Full_Set_Baseline,QDA,nan,nan,0.0039,0.7060,0.0077,0.7806,0.8631,0.0195,0.0062,0.7987,0.0122,0.8067
Lasso (a=1e-6),LogisticRegression,0.8870,0.0168,0.0000,0.0000,0.0000,0.9985,0.8861,0.0170,0.0000,0.0000,0.0000,0.9985
Full_Set_Baseline,LogisticRegression,0.8698,0.0138,0.0000,0.0000,0.0000,0.9985,0.8683,0.0141,0.0000,0.0000,0.0000,0.9985
Lasso (a=1e-5),LogisticRegression,0.8891,0.0167,0.0000,0.0000,0.0000,0.9985,0.8884,0.0174,0.0000,0.0000,0.0000,0.9985
Lasso (a=1e-4),LogisticRegression,0.8736,0.0132,0.0000,0.0000,0.0000,0.9985,0.8729,0.0135,0.0000,0.0000,0.0000,0.9985
Ridge (a=1e3),LogisticRegression,0.8650,0.0132,0.0000,0.0000,0.0000,0.9985,0.8641,0.0133,0.0000,0.0000,0.0000,0.9985
Ridge (a=1e2),LogisticRegression,0.8650,0.0132,0.0000,0.0000,0.0000,0.9985,0.8641,0.0133,0.0000,0.0000,0.0000,0.9985
Lasso (a=1e-4),LDA,0.8682,0.0129,0.0000,0.0000,0.0000,0.9985,0.8674,0.0133,0.0000,0.0000,0.0000,0.9985
Lasso (a=1e-4),QDA,0.8694,0.0129,0.0000,0.0000,0.0000,0.9985,0.8669,0.0134,0.0000,0.0000,0.0000,0.9985
Ridge (a=1e5),LogisticRegression,0.8893,0.0183,0.0000,0.0000,0.0000,0.9985,0.8887,0.0187,0.0000,0.0000,0.0000,0.9985
Ridge (a=1e4),LogisticRegression,0.8897,0.0179,0.0000,0.0000,0.0000,0.9985,0.8886,0.0182,0.0000,0.0000,0.0000,0.9985
Ridge (a=1e6),LogisticRegression,0.8767,0.0164,0.0000,0.0000,0.0000,0.9985,0.8763,0.0165,0.0000,0.0000,0.0000,0.9985
XGBoost_Top10,LogisticRegression,0.8763,0.0081,0.0000,0.0000,0.0000,0.9985,0.8749,0.0081,0.0000,0.0000,0.0000,0.9985
